ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
Title = Sorghum_Gatton_Tiller_x_Density_3 outputfile_daily
           date DaysAfterSowing         Leafno            lai        tillers   tillersAdded      linearLAI calculatedTillers         Supply         Demand       sw_dep()            SLA         maxSLA     ll15_dep()      dul_dep()        WaterSD        Biomass          yield        GrainNo          stage     biomass_wt   GrainGreenWt  RachisGreenWt    StemGreenWt      GrainSize LeafSenescedWt TillerNoFertile           TPLA           SPLA        DeltaTT    LeafGreenWt       DeltaLAI  DeltaGreenN()            lai           slai           GPLA         reeves
   (dd/mm/yyyy)          (days)       (leaves)        (m2/m2)             ()             ()             ()                ()             ()             ()           (mm)        (cm2/g)        (cm2/g)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)   (grains/m^2)             ()         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)  (g/1000grain)        (g/m^2) (tillers/plant)           (m2)           (m2)          (oCd)        (g/m^2)        (m2/m2)        (g/m^2)        (m2/m2)        (m2/m2)           (m2)             ()
     23/10/1998               1          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        748.105          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          1.999          0.000           0.00           0.00           0.00          0.000           0.00           1.530          0.000          0.000          8.990           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     24/10/1998               2          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        744.896          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.000          0.000           0.00           0.00           0.00          0.000           0.00           1.530          0.000          0.000         10.515           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     25/10/1998               3          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        743.769          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.535          0.000           0.00           0.00           0.00          0.000           0.00           1.530          0.000          0.000          7.165           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     26/10/1998               4          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        751.437          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.947          0.000           0.00           0.00           0.00          0.000           0.00           1.530          0.000          0.000         13.595           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     27/10/1998               5          1.000          0.002          0.000          0.000          0.000             0.000          0.000          0.000        747.113         20.000          0.000        486.000        753.000          1.000           16.0            0.0          0.000          3.000          1.600           0.00           0.00           0.80          0.000           0.00           1.530          2.000          0.000         13.907           0.80          0.000           0.02          0.002          0.000          0.000        400.000
     28/10/1998               6          1.339          0.003          0.000          0.000          0.000             0.000          0.000          0.000        745.288         32.692          0.000        486.000        753.000          1.000           16.2            0.0          0.000          3.261          1.624           0.00           0.00           0.80          0.000           0.00           1.530          3.369          0.000         13.907           0.82          0.001           0.01          0.003          0.000          0.000        400.000
     29/10/1998               7          1.678          0.004          0.000          0.000          0.000             0.000          0.000          0.000        744.034         49.463          0.000        486.000        753.000          1.000           16.6            0.0          0.000          3.370          1.659           0.00           0.00           0.80          0.000           0.00           1.530          5.310          0.000         10.925           0.86          0.002           0.00          0.004          0.000          0.000        400.000
     30/10/1998               8          1.945          0.005          0.000          0.000          0.000             0.000          0.000          0.000        746.423         58.117          0.000        486.000        753.000          1.000           16.8            0.0          0.000          3.463          1.679           0.00           0.00           0.80          0.000           0.00           1.530          6.377          0.000          9.250           0.88          0.001           0.00          0.005          0.000          0.000        399.243
     31/10/1998               9          2.170          0.008          0.000          0.000          0.000             0.000          0.000          0.000        746.987         83.069          0.000        486.000        753.000          1.000           17.4            0.0          0.000          3.590          1.740           0.00           0.00           0.80          0.000           0.00           1.530          9.735          0.000         12.783           0.94          0.003           0.00          0.008          0.000          0.000        394.405
     01/11/1998              10          2.482          0.011          0.000          0.000          0.000             0.000          0.000          0.000        744.704        105.737          0.000        486.000        753.000          1.000           18.0            0.0          0.000          3.685          1.803           0.00           0.00           0.80          0.000           0.00           1.530         13.207          0.000          9.510           1.00          0.003           0.00          0.011          0.000          0.000        390.308
     02/11/1998              11          2.714          0.017          0.000          0.000          0.000             0.000          0.000          0.000        743.552        145.889          0.000        486.000        753.000          1.000           19.4            0.0          0.000          3.765          1.940           0.00           0.00           0.81          0.000           0.00           1.530         20.628          0.000          7.950           1.13          0.006           0.01          0.017          0.000          0.000        384.647
     03/11/1998              12          2.908          0.025          0.000          0.000          0.000             0.000          0.000          0.000        742.568        190.401          0.000        486.000        753.000          1.000           21.4            0.0          0.000          3.834          2.143           0.00           0.00           0.82          0.000           0.00           1.530         31.538          0.000          6.930           1.33          0.009           0.01          0.025          0.000          0.000        380.435
     04/11/1998              13          3.077          0.034          0.000          0.000          0.000             0.000          0.000          0.000        741.660        207.644          0.000        486.000        753.000          1.000           24.6            0.0          0.000          3.909          2.463           0.00           0.00           0.83          0.000           0.00           1.530         42.323          0.000          7.441           1.63          0.009           0.02          0.034          0.000          0.000        376.915
     05/11/1998              14          3.259          0.043          0.000          0.000          0.000             0.000          0.000          0.000        740.817        211.817          0.000        486.000        753.000          1.000           28.9            0.0          0.000          4.000          2.892           0.00           0.00           0.86          0.000           0.00           1.530         53.903          0.000         10.460           2.04          0.009           0.02          0.043          0.000          0.000        373.845
     06/11/1998              15          3.514          0.057          0.000          0.000          0.000             0.000          0.000          0.000        739.983        219.540          0.000        486.000        753.000          1.000           34.9            0.0          0.000          4.067          3.486           0.00           0.00           0.89          0.000           0.00           1.530         71.197          0.000         10.999           2.59          0.014           0.03          0.057          0.000          0.000        370.550
     07/11/1998              16          3.782          0.077          0.000          0.000          0.000             0.000          0.000          0.000        739.159        229.596          0.000        486.000        753.000          1.000           43.1            0.0          0.000          4.133          4.306           0.00           0.00           0.95          0.000           0.00           1.530         96.381          0.000         11.935           3.36          0.020           0.03          0.077          0.000          0.000        365.917
     08/11/1998              17          4.073          0.099          0.000          0.000          0.000             0.000          0.000          0.000        738.313        235.889          0.000        486.000        753.000          1.000           52.2            0.0          0.000          4.194          5.215           0.00           0.00           1.02          0.000           0.00           1.530        123.708          0.000         11.330           4.20          0.022           0.04          0.099          0.000          0.000        361.046
     09/11/1998              18          4.349          0.120          0.000          0.000          0.049             0.000          0.000          0.000        737.661        251.093          0.000        486.000        753.000          1.000           58.4            0.0          0.000          4.270          5.845           0.00           0.00           1.08          0.000           0.00           1.530        149.650          0.000         13.750           4.77          0.021           0.02          0.120          0.000          0.000        355.761
     10/11/1998              19          4.685          0.152          0.000          0.000          0.060             0.000          0.000          0.000        737.013        275.398          0.000        486.000        753.000          1.000           66.7            0.0          0.000          4.327          6.674           0.00           0.00           1.16          0.000           0.00           1.530        189.757          0.000         10.435           5.51          0.032           0.04          0.152          0.000          0.000        350.743
     11/11/1998              20          4.939          0.179          0.000          0.000          0.076             0.000          0.000          0.000        736.086        256.715          0.000        486.000        753.000          1.000           83.5            0.0          0.000          4.381          8.348           0.00           0.00           1.36          0.000           0.00           1.530        224.367          0.000         10.020           6.99          0.028           0.06          0.179          0.000          0.000        344.653
     12/11/1998              21          5.184          0.206          0.000          0.000          0.090             0.000          0.000          0.000        735.529        270.016          0.000        486.000        753.000          1.000           90.8            0.0          0.000          4.439          9.082           0.00           0.00           1.45          0.000           0.00           1.530        257.600          0.000         10.470           7.63          0.027           0.03          0.206          0.000          0.000        340.032
     13/11/1998              22          5.439          0.234          0.000          0.000          0.103             0.000          0.000          0.000        735.828        280.799          0.000        486.000        753.000          1.000           98.9            0.0          0.000          4.489          9.891           0.00           0.00           1.56          0.000           0.00           1.530        292.325          0.000          9.210           8.33          0.028           0.03          0.234          0.000          0.000        335.594
     14/11/1998              23          5.664          0.267          0.000          0.000          0.117             0.000          0.000          0.000        765.816        245.356          0.000        486.000        753.000          1.000          128.8            0.0          0.000          4.563         12.877           0.00           0.00           2.01          0.000           0.00           1.530        333.221          0.000         13.615          10.86          0.033           0.06          0.267          0.000          0.000        330.957
     15/11/1998              24          5.996          0.318          0.000          0.000          0.133             0.000          0.000          0.000        760.853        230.234          0.000        486.000        753.000          1.000          163.7            0.0          0.000          4.636         16.374           0.00           0.00           2.58          0.000           0.00           1.530        397.084          0.000         13.233          13.80          0.051           0.08          0.318          0.000          0.000        326.878
     16/11/1998              25          6.319          0.367          2.000          1.000          0.159             6.697     423551.794      19952.209        756.925        214.009        283.489        486.000        753.000          1.000          204.7            0.0          0.000          4.704         20.467           0.00           0.00           3.30          0.000           0.00           1.530        459.152          0.000         12.541          17.16          0.050           0.10          0.367          0.000          0.000        320.849
     17/11/1998              26          6.624          0.446          2.000          2.000          0.184             6.697     423551.794      19952.209        753.391        219.064        278.491        486.000        753.000          1.000          244.4            0.0          0.000          4.767         24.437           0.00           0.00           4.07          0.000           0.00           1.530        557.708          0.000         11.490          20.37          0.079           0.11          0.446          0.000          0.000        314.988
